omet;omething
gl;gla
Yeah;Yeah, 
u;uy
a;tha
ERY;ERY:
.;rry.
t; do t
t;his t
s an;s and 
ma;mal
f;s of
ne;ne.
nte;nter
s;ks
I;IS
's ;That's 
e;e?
b; the b
 can; can 
a;lea
e pla;e plane
n;nc
r ;r a
lower;lowers
 fa; fall
t;nat
e;to be
f;o f
la;lac
t;ng it
g; a g
ee;een
u;su
forward in time ;forward in time and 
 see; sees 
p;pp
RRY;RRY:
g;king
o; ho
i;li
th;for th
t;, but
its;its 
h;ath
n;than
us;use
nd ;, and 
ld;could
k;ks
I'm ;I'm g
 ; C
en;ent
 hon; honey
W;Wa
l;wil
t;gott
, ;, f
a ;a i
OCK #1;OCK #1:
e;ll the
ney;ney,
BL;GE BUMBL
u;hou
this;this 
to ;want to 
ing in;ing in 
o;flies o
I;TI
ar;art
T;IT
 ;R 
a; sa
f th;f the
e;Are
 ;ink 
t;tat
Barry a;Barry and 
h;h.
hi;hit
gh ;rough 
r; bear
A;TA
 ;bee 
l;lt
ing;ing!
o;os
c;co
br;bro
LO;LOO
ETON:;UDGE BUMBLETON:
=;==
ear;ear 
 of ; of t
e;e)
a ;into a 
ga;gain
ow;ower
ch;ch 
NET;NET:
l; a fl
d;the wind
CK;CK 
talking ;talking t
and w;and we 
I ;I h
 ;ldn't 
';I'
 sti; stin
and ;orward in time and 
s;ches
 human; human 
ck; back
ch; much
m; cam
r;war
s on;s on 
i;ooki
.;y.
s;sp
I d;I do
have ;have t
t;a st
);es)
- ;- N
s ;sees 
and ;rd in time and 
re ;ou're 
 ;What 
 and the; and the 
d;do
 for; forward
ET;ETON:
a f;a fl
ning;ning 
The ;The p
R;RT
u;you
OME;OMERY
a; ca
, ;ly, 
A;AD
s;bs
. ;. A
ight;ight 
a; tha
side t;side the 
king t;king to
 ;ash 
G;GOMERY
 jo; jock
s;ers
t;That
c; a c
 ;rk 
 to f; to fly
 ;was 
t;ave t
n;nu
Is;Is 
cou;cour
e;- He
ad;ade
ou ;ou d
e;ng be
j;s j
 I ; I w
en;happen
 W; We
l; Bl
't;I can't
o;is co
ok;Look
 not; not 
. I;. It
our;ourt
i; gi
nking;nking 
uman;uman 
pec;peci
ps;ps 
o; pro
nna;nna 
, bu;, but
, ;Hey, 
st ; just 
the;them
h;r h
oth;othing
r;star
(Barry ;(Barry f
ere is;ere is 
CK #;CK #2:
ch;che
o;op
'm ;'m g
 ;lash 
t in ;t in t
leas;lease
what;what 
I;I 
n;zin
i;whi
n; plan
e;t's the
tu;tur
ARD:;UARD:
s;s?
T;TI
h;I th
e;f the
o ;o t
 ;g to 
 ; Barry 
er;ower
LL;LLEN JOCK
n;kin
n;llin
es ;es d
 ;ve to 
u;s you
n.;n. 
hit;hits 
:;SA:
l;s a l
s;los
t i;t it
s;ng s
H;Hi
 ; and Barry 
the p;the plane
 ;rward 
in;inc
a;Ca
d;he wind
 it ; it a
u;uzz
a; is a
 for; for 
p; happ
o;re o
s;y s
t;st t
ta;tat
 ;s Barry 
o;ry lo
 s; sa
e ;e B
ho;hol
 there; there 
.;ry.
forward in time;forward in time 
t of;t of 
e;ppe
n; en
a;he a
an;ani
om;omp
 ; much 
Jock;he Pollen Jock
 r; ru
e;fre
e;ame
.;en.
 ;out 
a; ha
g;lling
c;pec
ng ou;ng out
d;need
essa;essa 
ut t;ut th
m;the m
ey ;ey w
oa;oat
nd ;nd s
g;a g
orward in time ;orward in time and 
ARR;ARRY
d;eard
g; I g
h;Sh
he h;he hi
o;Po
ll;ll, 
d;ds
from;from 
 ; S
e.;e. 
 do; doing
u g;u go
 ;op 
 a ; a s
 ;s that 
TON:;LETON:
s;n his
Ye;Yeah
e;ture
por;port
ash forward in time;ash forward in time 
 ;his is 
ni;nis
te;ter
 think; think 
, ;, B
t;et
w ;w t
d;I d
e c;e co
a;ing a
g bee;g bee!
s; is s
y; every
uts;uts 
a;th a
s ;falls 
an;ans
b;e b
lan;lane
h;e the h
now;now, 
g;g.
na ;gonna 
u;d ou
b;g b
nin;ning
ollen Jock;ollen Jocks
a;ama
h;er h
eady;Barry! Breakfast is ready!
hap;happ
R;MAR
do;does
flo;flow
ake;akes
er;eri
ap;ape
g ;g m
e n;e ne
la;lat
th ;th a
 ;orward 
s ;oks 
A;Ar
e y;e you
w;n w
 e; ex
, ;ll, 
s;Bees
o ;o o
e;- Ye
 ;lk 
in;ins
 ra; rai
 cou; could
ng on;ng on 
a; have a
l ;l a
le;ler
ra;ran
on;enson
k; work
 ; your 
u; cu
! ;! T
ide t;ide the 
an; Van
lane; the plane
r; r
ne ;ne o
k a;k and 
s th;s thi
r;bear
w; sw
s;pos
ng;aving
, ;rry, 
e; gre
Flash ;Flash forward 
f;l f
top;top 
of th;of the
 thin; thing
B ;OB 
 ;in 
n;ran
e; for the
o;a lo
 ;, but 
 bee; bee!
t;tt
th t;th th
i;ut i
i;g hi
h;Wh
l;ur l
n;nk
on;on 
e;ane
.;ed.
 ; #
a;t ma
be ;be a
honey;honey 
?;y?
 ; was 
s ;hits 
s;Yes
a;rry a
k;truck
 ; You 
 ;ob 
man;mans
o; Mo
 ;g 
, w;, wh
much;much 
l;fal
on;ong
H; H
d ;d m
B;. B
be;bee
 ;new 
 abo; about
t i;t in
n; the n
t of t;t of th
Y;RY
e;r the
o;ing to
k;Barry! Breakfast is ready!
t; bot
A;RA
b;s b
 ;aring 
.;his.
 #1; #1:
d;land
 se; see
#;#1
the ;the h
re ;e're 
 po; poi
a;a, 
r;thr
er.;er. 
ey ;ey a
ia;ian
r; spr
and ;and s
o;kno
l;irl
m; to m
h;on h
lash;lash 
ck; Jock
.;e.
't; can't
t;ts t
d;sid
co;com
 fac; face
e ;s are 
g; the g
t; a t
 do; do 
ies ;ies o
ck; truck
t y;t you
fi;fin
Tha;That
v; liv
a;y a
 on th; on the
g;ga
re ;re b
n;gin
o f;o fl
';you'
?;it?
 ;ches 
a; hea
 su; sur
l ;l r
 ; u
just;just 
i;pi
, ;am, 
e ;(We 
lo;loa
out;out 
e;n the
s;ars
er;ers
o;the ro
ng;ngs
R;RR
:; JOCK #1:
i;e si
int;(Point
nam;name
o; Po
 ;till 
las;lash
 ;hing 
time;time.
on;tion
w;at w
.;ay.
R;Re
:;ARTIN:
i;hai
off;off 
 ;Can 
a;t a
S;SS
oin;oing
);d)
n ;n t
like;like 
n;ten
e g;e go
t;t.
 Ho; Hon
:;R:
r;y ar
l;he pl
h fo;h for
Y;Y 
e;ause
);arry)
r;Her
y a;y an
 di; did
BL;BUMBL
no;no 
o;No
e;have
er the;er the 
i; this i
a;at's a
r;rp
. The;. They
o;he ro
?;g?
ei;eir
o; flies o
e; trie
en;enn
't ;'t h
 ;ts 
d ;d Barry
lies ;(Barry flies 
co;col
on ;on i
ust;ust 
r;e wor
BL;DGE BUMBL
 ;ard 
, I;, I'
l;ll
ds ;ds o
 you; you?
t;s out
if;ife
1;EN JOCK #1
e an;e and 
e;lose
talking;talking 
- Y;- Ye
 all ; all t
we ;we d
o;ne o
 ;ust 
he ho;he honey
IN;IN 
inking;inking 
e;rive
w; the w
N JOCK #;N JOCK #1
t it;t it 
 m; mo
N;ON
e ;more 
 ;y 
se;se 
a;ssa
h ;h h
ash forward in time ;ash forward in time and 
 B; Bl
t's ;t's o
s; the s
ey; honey
 in time ; in time and 
:;N:
re;re.
);er)
e s;e so
n; han
ec;eca
 pa; par
p;s up
t; It
n;oun
- ;- B
ou;. You
 It; It 
t;ns t
l;y fl
 Barry; Barry 
 ;n a 
t; put
ct;ctu
't ;'t s
h;n th
la;las
cti;ction
ow;indow
n;mean
gin;ging
t in;t in 
h;e h
n jo;n jock
n;I can
er an;er and 
or a;or a 
M;AM
 d; dr
ts t;ts to
e ;e y
f ;f i
l;he l
ck a;ck and 
 ;over 
I c;I ca
 ;lking 
ugh ; through 
W;. W
ine;ines
- O;- Oh, 
o; sto
're ; You're 
s;ngs
 ;ou 
at's a;at's a 
pr;pro
 he; he 
 ;ch 
s;owers
s;su
ti;tim
 ; one 
a;s ma
 ;in the 
r;n r
i;it
re n;re no
Flash forward in time;Flash forward in time 
P;PO
i;ci
a;La
 co; com
 ho; home
b;d b
 ;ain 
and ;n time and 
o the;o the 
rai;rain
t;u t
ee;ees
e;the
 ;o a 
aft;after
t;bout t
 r; ra
en;scen
 Vanessa; Vanessa 
wel;well
BL;MBL
 ;They 
W;Wh
jock;len jock
 #;LEN JOCK #
 ; can 
o;h fo
ers;ers.
v;hav
a;e pla
ru;ruc
Where;Where 
d he;d he 
iev;believ
 fro; from
 ;s a 
f;re f
m an;m and 
ok;smok
"; "
To;To 
1;LEN JOCK #1
i;our li
a;st a
';He'
 ne; need
ld you;ld you 
k t;k th
 take; takes 
ver ;never 
.;g.
arry a;arry and 
ing ;aking 
e c;e ca
 ;, 
UM;E BUM
uld;should
gu;gue
e;ew
t; on t
 st; ste
't ;'t b
pl;pla
h;ha
the P;the Po
t;ht
ca;cam
 are you; are you 
 ;. He 
n;k in
or;ore
e b;e bo
 flower; flowers
 ; she 
ve;ves
anc;ance
This;This 
ut ;ut s
e;ome
r ;r s
lea;leav
n't ;n't h
ime;ime 
d;du
 ca; can
t ;t u
S;ST
 ;ick 
 ;ood 
s;gs
in time;ward in time
o; o
ou g;ou go
 hear; heard
us;ious
i;qui
e;e,
 h; he
e; ve
e;Re
ure;ure 
e ;e c
f;is f
is ;is g
ere ;ere i
et ;et i
l,;l, 
 ;and he 
a;p a
i;t i
n;n?
i;tri
 it ; it i
de;den
get;gets 
l;t l
k;on't k
t;pt
a;fa
ime; in time
ha;har
scen;scene 
 ;on the 
ve go;ve got
m s;m so
ca;can
ly;ly 
t;t!
y;my
m ;m t
kn;kno
ll th;ll the
e; all the
w;aw
 N; No
Th;Thi
s;has
 ;ht 
offe;offee
d;d d
The ;The b
N JOCK;N JOCK #
rt;rts
d;the d
h; his h
u; u
str;stri
t;ith t
dea;dead
 ; o
u;ng u
 ; think 
oor;oor 
s;flowers
s ;s u
 ; it 
 you ; you a
the ;the r
s c;s co
f;'t f
o; fro
like ;like t
er a;er an
s;humans
h;th
s;ds
forward ;Flash forward 
nd;around
h;ich
s ;He's 
a;on a
u k;u know
c;rc
D;AD
E; BUMBLE
t;g at
h;hr
a;his ha
s;hes
cks;cks 
at;- What
 I ; I h
e;die
it;ith
 ; from the 
abo;about
t;e it
RY;MERY
or ;or t
re ;We're 
es ;es o
se; close
e;a be
 k; ki
e;me
i;Thi
n; in
e se;e see
de t;de the
 you d; you do
ing;ing)
l;t all
);s)
t;ect
 ;as a 
y lo;y look
at's ;at's a
 make; make 
ens;enson
Barry;Barry 
s;ur s
 ;ere is 
h forward in time;h forward in time 
iev;ieve
n;nten
 we; we'
ont;ontgomery
's ; It's 
ain;ain 
ough;ough 
our l;our li
of i;of it
 ne; never 
ot;oti
o;u do
r; a r
bo;bou
t wa;t was
f;n't f
,;es,
ou ;ou g
U L;LOU L
 ; on the 
tho;those
the;thes
rou;rough 
 ;rts 
a;d a
es;es)
 ;ws 
the ;the s
ad;ad 
e ;e e
h;g th
A;. A
h;ll th
o; kno
o ;o b
. ;. M
OOD;OOD:
l;(Fl
- ;- Y
c;ci
 you ; you g
tt;tta
g;he g
ou ;ou t
rs.;rs. 
t be;t bee
t;ng t
a;you a
t;What
l ;l s
were;were 
ou;ou?
:;#2:
and ;lash forward in time and 
t; got
H;He
d to;d to 
ra;rad
ne;nec
);t Barry)
s;is s
d;you d
n;s n
rea;Barry! Breakfast is ready!
i;cki
ugh ;through 
b;'t b
ce;ence
's ;'s h
);in)
';, I'
h;f th
r ;r f
w; tw
 ; They 
on;only 
 ;side 
o;two
l;ual
to a;to a 
s;ls
the r;the ro
 ;h the 
Pollen Jock;Pollen Jocks
e;take
ho;hou
n;d n
rry;rry, 
h;s th
 ;hat 
i;zi
';ou'
 ; can't 
gr;gra
h;ll h
d Adam;d Adam 
y;omery
h;of h
 them; them 
fr;fre
 ;m the 
jock;ollen jock
ste;sten
 ;me 
t;f it
n't ;n't f
ss;ssa
his ;his c
e,;e, 
i; a li
 ;t the 
y a;y a 
I t;I th
 who; who 
you ;you w
his i;his is
o ;nt to 
l;call
 di; dis
n ;n a
 wo; wor
s ;Barry is 
l;il
g; you g
They;They 
t;y st
 ;rt 
n;he n
ime ;ime and 
U ;U L
r;over
e th;e thi
len;len 
leav;leave
ll ;ll s
la;lay
s;You s
e; ke
m;a m
wa;war
t;t of t
Van;Vanessa
kes;kes 
MAR;MARTIN
AR; CAR
i; ni
h;ng th
ing ;ing s
ut t;ut to 
olle;ollen
 JOCK #; JOCK #1
W;(W
e the;e the 
o;on
ow;ow 
b;ob
a;y ta
n;nd an
R;Ro
y;yw
.;m.
ein;eing
alking t;alking to 
y ;y n
d;u d
itt;ittle
plane;plane 
at;atch
a;u a
 b; be
t;ver t
E B;E BUM
om;om 
ve to;ve to 
f;a f
 and h; and he
o;eo
e;e ne
eli;eliev
a;g a
 ; around 
ng bee;ng bee!
(;(M
it;iti
ther;there
ing a;ing a 
o do;o do 
out t;out th
O;OT
sing;sing 
and ;and i
rward ;rward in time
te;te.
ly ;ly a
an ;an i
l;n l
, ;it, 
?;at?
way;way 
nd;nd.
s ; has 
y w;y wa
g o;g ou
l ;l h
ry i;ry is 
 ;o do 
TON:;BLETON:
wa;was
ave to;ave to 
. ;. B
 ;You 
h;ing th
i;eri
 fo; for
hem;hem 
hat;hat 
!;e!
w;ow
, ;rs, 
t i;t is
ay;ay 
o; who
 wa; wal
 l; li
r;ntr
 ;ny 
 ; g
! ;on! 
y ar;y are
u;ru
 how; how 
o; go
 ; D
a;ica
a; ma
 talking ; talking t
g;gi
a; Ma
din;ding
at ;at i
e;nd the
rs;rse
ki;kil
e t;e ta
or;or 
n;own
 ;oses 
a; was a
l;ou l
:; #2:
k;k, 
Fla;Flash 
 ;ds 
H;. H
me;me!
r;mer
d; we d
l; wil
u;You
s;ns
icks;icks 
anessa;anessa 
a; up a
a;the ba
a;az
ow;own
th the;th the 
r;is r
 ;S 
c;lac
g,;g, 
e bees;e bees 
d ;d Vanessa 
ne;yone
s int;s into 
l;poll
e c;e cr
fly;fly 
nd ;rry and 
l th;l the
o; too
MO;MONTGOMERY
and ;and h
go;go 
 ;(To 
nt ;nt o
but;but 
:;ADAM:
 have ; have t
n;sin
ne;new
o yo;o you
g the;g the 
g;big
(To;(To 
(Po;(Point
w;m w
ees ;ees a
u;u?
this;this.
 happ; happen
e ;e w
n';n't
n;plan
that ;that a
ag;aga
e be;e bee
a;, a
 I; It
h ;h f
e flo;e flower
alking;alking 
d ;m and 
 we; were
 ; some 
ave;ave 
Ho;Hon
a; pla
Wha;What
i;thi
rry;rry)
ce;ce.
off;offe
y;away
ing ;ing a
and;and 
e;othe
y;fly
 s; sn
JOCK #;JOCK #2:
ssa ;ssa a
le;les
e; The
o;t do
 ; pollen 
);n)
s ; hits 
ul;ull
's ;re's 
 and ; and t
e g;e gr
 ; but 
 ;e you 
 B; Barry
a;is ha
n;ing an
2:;OCK #2:
e;om the
ve;e hive
o ;ut to 
a;ke a
 the bee; the bees
 and ; and i
nd ;nd Vanessa 
n;es an
ing;flying
 #;JOCK #
es ; flies 
n; turn
s;'s
r;tter
 do; down
nto ;nto a 
o;ome o
ye;yell
 ;an 
V; V
H;- H
';an'
a; fa
it.;it. 
h;! Th
- I;- I'
d;ound
 ;off the 
s ;gets 
li;lie
f;(Barry f
t;ying t
o ;o c
What;What 
Y;RRY
a;gra
t ;t s
fa;rry! Breakfast is ready!
 ;o the 
e; here
ME;MERY
tin;ting
ry;ry.
 ;ree 
ev;eve
fi;fic
o;e ro
in;in 
r;hur
o;he co
a;dea
 i; is
the;ther
t;on t
h; I h
o;sho
hinking;hinking 
l; wal
2;2:
r;her
i;essa i
 and ; and s
int;into 
tt;tte
s;Is
st ;st t
on;ons
T;Ta
 You; You're 
 ;hat is 
 ;d we 
h;eth
 ye; yea
l;Barry l
d; dead
t;rat
MBL;MBLE
nto;nto 
ees;ees!
2:; JOCK #2:
orward ;orward in time
 ; being 
 s; st
so;sor
BARRY;BARRY:
s ; takes 
s l;s li
 somet; something
in;int
a;la
is ;is c
v;iev
o;m so
m;mm
k ;k you
ward;ward 
 ;n Jocks 
e;ey
o; Yo
os;ose
ing; talking
ello;ellow
, ;, l
b;re b
l;Pol
t; to t
 ;nna 
s;s! 
rd i;rd in time
and ;forward in time and 
 ou; out
di;die
 ;But 
 ;ill 
n;in
a;s a
be ;be t
fac;face
U;BU
a;s pa
ollen Jocks;ollen Jocks 
k;ki
g;ding
NT;NTGOMERY
 tu; tur
ses;Roses
 ;arry 
't; I can't
r ;r h
l; the l
