i;Thi
hat;hat 
e;Bee
be;be 
h;ith
 ; A
a; pa
i; di
ing;ing 
i;ki
ma;man
n;hon
e; re
n't;n't 
 on; on 
n;n 
e;We
r t;r th
 ;o the 
 th; the
 p; pl
 ; T
o;no
 ;at 
s ;s o
in t;in th
h; in th
a;ga
:;AM:
e;He
an;ant
oc;ock
 ;ur 
a;ing a
:;ESSA:
 of ; of t
l;all
 m; me
 t; ti
 ; you 
K;CK
s;sh
g;go
om;ome
SSA;ANESSA
i;pi
s;a s
g;ig
a;ad
DAM;DAM:
ssa;anessa
 ; c
i;il
 all; all 
o;mo
 u; up
a;a 
 ;y 
,;s,
 ;The 
a;e a
 ;w 
t;t'
t ;t f
 ;p 
m ;I'm 
ul;uld
us;ust
t; that
o; yo
ld;ld 
 w; wh
t;ant
 o; on
r;ver
e;e be
d;rd
A;BA
 ; u
f;fa
 ;of 
l;ul
ea;ear
f th;f the
c;ce
 ;es 
v;av
a;at
h; Th
h; with
i;is
l;ls
AD;ADAM
i; thi
es ;es a
bl;ble
e;bee
v;iv
t;of t
S; S
';'m 
d ;d a
w;know
 ; on 
 a; an
 w; wo
g t;g to
e;le
r;ther
a;ca
l;ll
b;ab
r;ry
s t;s to
c;he c
ck;ck 
n;ne
 ; m
SS;NESS
b;ba
h;Th
d;and
.;..
u;You
u;tu
ness;nessa
b;t b
 don; don't
 ;. 
n;n.
the ;the b
 ;nto 
e;ec
o;ro
pl;pla
t;to
on t;on th
 ;ee 
 his; his 
 p; po
 ;nessa 
v;ov
ll;ll 
N;No
n;en
S;SS
t ;t o
t;ut
o;ho
hi;hin
a;ng a
 j; ju
 ;ld 
r;rr
e;he
n ;n t
n;un
 ; in 
 h; hi
c;ic
l; pl
s ;s w
and;and 
a;ac
c;oc
m;mo
VANESSA;VANESSA:
Van;Vanessa
 ;is 
v;ve
e; see
nd ;nd t
h;ch
c; c
h;r th
e th;e the
e; se
 ti; time
l;l 
io;ion
b;be
C;CK
r;rk
s;bees
a;essa
w;w 
y;hey
e;er
';u'
n;tin
 t; ta
he ;he h
il;ill
ADAM;ADAM:
r;ter
ng;ng 
o;Ho
a ;a s
l;ld
g;g.
u;um
d;od
a;s a
 w; we
e;ake
 ;rry 
g;g 
a;g a
! ;s! 
 ;ave 
ed;ed 
u;ju
ho;hon
 ;ey 
e t;e to
I;It
at';at's 
u;uc
d;ard
 ;it 
 we; we 
r;ear
b;the b
 ;that 
w;wi
e b;e be
p; up
K;KE
to t;to th
b;he b
 t; tr
i;li
e; ge
ere;ere 
.;es.
o;Yo
d; d
e;ce
hey;hey 
 thi; this
u; u
e;be
gh;ght
ESS;ESSA
u;us
in;ink
e;are
an;and
e;one
ou;our
on;one
h; of th
y ;y i
rry;Barry
t;nt
he;her
f; of
it;it 
VA;VAN
o;nto
on;on 
 h; hu
all;all 
n;no
u;ul
 ;ow 
E;NE
M;M:
 ;ve 
g;hing
l;lk
ane;anessa
E;ANE
p;pa
do;don
l;ll
r;arr
RY;RY:
t;ct
 of t; of th
n;thin
 a; a 
h;ugh
n;han
t;g t
n;man
.;..
B;(B
en;ent
ANE;ANESSA
e;ane
h;o th
av;ave
 ; J
Y;Y:
h;hu
 of; of 
.;s.
d;ld
e;Ke
s;'s
 ; is 
't;don't
h;igh
n; n
a;ta
t ;t i
he ;he b
b;bu
to th;to the
e;e)
e ;e p
g;ting
 ; k
u; cou
e;e.
(B;(Ba
y;ery
 ;, 
w;now
e;Be
o the;o the 
be;bee
d;ed
l;lo
e ;e g
k;ack
 ;o 
 the; the 
o;do
o;t o
r;r.
 ;le 
 ;m 
h;s h
You;You 
Wha;What
that;that 
h;he h
kno;know
r;fr
thi;thin
R;RR
a;sa
l;el
i;gi
 f; fa
(;(T
l; l
 ;or 
d;id
d;e d
p;sp
Th;The
 h; ha
a;fa
n;ion
 ;ke 
 ; n
